Date,Duration (hours),Category,Description of completed task,Challenges and/or next steps,Reflection
1/26/26,2,"Research, Training, Learning",Joined the orientation zoom meeting where professor went over what is expected of the projects throughout the semester.,Meet with supervisor to discuss my internship tasks.,
1/27/26,1.5,Supervisor Discussion,Went to speak to my supervisor to discuss details of the internship and set up schedule that would work for both of us.,,
1/28/26,1.5,"Research, Training, Learning","First official day of internship. I was introduced to the team I would be working with. Set up all accounts necessary, where I would complete and submit tasks I get assigned.",,
1/28/26,1.5,"Research, Training, Learning",Went over how to use WordPress and Basecamp with supervisor.,,
1/28/26,1,"Research, Training, Learning",Watched tutorials on GitHub and went over the repository requirements.,I need more practice on using repositories.,
1/29/26,2,"Research, Training, Learning",Did some practice wordpress tasks with my supervisor.,,
1/29/26,1,"Research, Training, Learning",Worked on a couple of news post in wordpress.,,
1/30/26,1,Documentation,Created repository and updated timelog                                                                                                                                                               ,,
1/30/26,1,Other,Went over project details and took orientation quiz.,,
1/31/26,2,Other,Worked on creating my resume assignment.,,
2/1/26,1,Other,Did some final touch ups to resume,Need more projects to list and set up a linkedin account,
2/1/26,0.5,Documentation,Updated timelog ,,
2/3/26,1,"Research, Training, Learning",Did some reading on writing alt text provided my supervisor,,
2/3/26,1.5,"Research, Training, Learning","Went over how to add and edit events for CUNY calendar, how to enter any alt text to images used.",,
2/3/26,1.5,Design,Posted three new events to the cuny calendar website using images with alt text.,,
2/4/26,1,Documentation,Added tasks assigned to be completed by the end of this week to the audit folder onto git repository.,,
2/4/26,1,Coding,Updated code for website that had sound file graphics that were not accessible because of insufficient color contrast.,,
2/4/26,1.5,"Research, Training, Learning",Read and reviewed documentation on the websites Web Style Guide that needs to be followed when implementing new content into the college website,,
4-Feb,0.5,Documentation,Updated timelog ,,
2/5/26,2.5,Design,Built a new page on the Brooklyn College website to the Children Youth Studies through wordpress.,,It was my first time creating a page for the brooklyn website and i familiarized myself a bit more with wordpress
2/5/26,1,Design,Produced 3 BC Brief Stories that included adding the correct tags and categorized approprietly on the website,,
2/5/26,0.5,Documentation,"Added tasks and fixes made to the ""audits"" and ""fixes"" folders on the repository",Need to be more organized for the files in repo,
2/7/26,0.2,Documentation,Updated timelog ,,
2/7/26,1,Design,Fixed error spelling identified by webwarden,,
2/8/26,0.3,Documentation,"Updated repository with tasks and task completed to ""fixes"" folder also organized a bit more my folders on repo.",I need to add more fixes completed.,
2/8/26,0.5,Documentation,Worked on filling out the project survey,,
2/9/26,0.6,Design,Completed a task from basecamp which was to add a HTML table to one of the tabs from the website.,,
2/9/26,1.5,Design,Worked on a task that involves identifying and removing 60 empty headings from the website.,Still need to work on it and maybe think of a more efficient way to get this task complete,
2/9/26,1,Documentation,Worked on filling out the project survey,,
2/10/26,3,Design,"Created 4 WordPress events for the college website with specific tags, categorized correctly, and neatly formated.",,
2/11/26,1.5,Documentation,Finished filling out the project survey,,
2/11/26,1,Team Discussion,Joined the departments monthly meeting where introductions were made and disccussion about properly implementing the college's brand. ,,
2/11/26,1.5,Design,Updated the college websites professors information using reusable blocks on wordpress.,,
2/11/26,0.5,Supervisor Discussion,Spoke with my supervisor about the idea of implementing a way that would remediate most common alt text issues on images to avoid having to go into each page one by one.,,
2/11/26,0.2,Documentation,Updating timelog,,
2/11/26,0.5,Design,Updated email addresses on multiple pages in wordpress,,
2/12/26,0.5,"Research, Training, Learning",Read a guide on publishing events to the college website,,
2/12/26,2,Design,Produced 5 events to publish on the webiste,Need some finishing touches(adding appropriate tags and categories to each one),
2/13/26,1,Other,Reviewed first draft slides assignment and began working on it,Need to add more slides and diagrams,
2/15/26,2,Other,Worked on the first draft slides assignment,,
2/15/26,0.5,Documentation,Commited files and logs to the audits and fixes folders in the repositry,,
2/16/26,1,"Research, Training, Learning",Completed one hour of an online class about SEO for begginers,,
2/16/26,2.5,Other,Added slides to the first draft slides assignment,,
2/17/26,0.5,Design,Updated a pdf file on the Nutrition program page on wordpress,,
2/17/26,1,Design,"Created a reusbale block which allows to dynamically place identical content on different pages and makes the pages easy to maintain and update in the future, used that reusable block and applied it to all pages required. ",,
2/17/26,1.5,Design,Built a page draft about New Privacy and Cookie Policy ,,
2/17/26,0.5,Other,Completed my first draft assignment and turned it in,,
2/17/26,0.2,Documentation,Update timelog,,
2/18/26,3,Design,Worked on fixing spelling errors on multiple pages found by new webwarden scan,,
2/19/26,3,Design,Continued working on removing empty headings on multiple pages,"need more time spent on this task, new scan found more",
2/21/26,1,Documentation,Updated any completed tasks on git repository ,,
2/23/26,1.5,Other,Began working on the first slides for the live presentation,,
2/24/26,2.5,Design,Finished up fixing the spelling errors found by the latest scan,,
2/24/26,1.5,Design,Began the task of fixing insecure connection URL,,
2/25/26,3,Design,Continued fixing insecure connection URLs,,
2/26/26,3,Design,Worked on fixing more insecure connections URLs,,
2/27/26,1.5,Documentation,Reviewed my presentation slides practiced for my Live presentation,,
3/1/26,1.5,Documentation,Gathered all the info to show in my 1st Demo Video and recorded it.,Took a few tries to make sure the video was between 2-5 minutes long,
3/1/26,0.2,Documentation,Updated Timelog ,,
3/3/26,3,Design,Fixed about 40 insecure Connections URL's,new scan came back with more,
3/4/26,2.5,Design,Fixed another 56 insecure Cnnection URL's,,
3/4/26,2.5,Design,Organized all 700 images missing alt-text descriptions. But descriptions need improvement.,,
3/4/26,0.3,Documentation,Updated my repository on the tasks im currently working on.,,
3/5/26,3.5,Design,Tried to organize the images without alt-text description into a spreadsheet and began filling in the descriptions for about 50 of them ,,
3/8/26,0.2,Other,Arranged a zoom meeting with Clear to go over repository of the website.,,
3/8/26,0.6,Other,Went over the material i need to complete for the next assignment due,,
3/8/26,2,"Research, Training, Learning",Did some research on how to implement the fixes of the 700 missing alt-text without having to do one by one on wordpress.,,
3/9/26,0.3,Documentation,Updated Timelog ,,
3/10/26,3,Design,Completed alt-text descriptions for 90 images.,,
3/11/26,3,Design,Completed alt-text descriptions for 85 images.,,
3/11/26,1,"Research, Training, Learning",Joined zoom meeting with stefan to get access to repository and went over basics.,Have to wait for the envirement to be created and then we can procceed.,
3/12/26,3.5,Design,Completed alt-text descriptions for 110 images.,,
3/12/26,1,Other,"Went over assignment details and what needs to be done, contacted my partner again to get access to links.",,
3/14/26,2,Other,Completed most of the evaluation assignment.,,
3/15/26,1,Other,Completed my evaluation assignment.,,
3/15/26,0.2,Documentation,Updated Tinelog.,,
3/17/26,3.2,Design,Completed another 80 alt text images.,,
3/18/26,1,"Research, Training, Learning",Read UX Accessible Writing,,
3/18/26,2,Design,Worked on more alt-text images,,
3/19/26,3.5,Design,"Updated multiple pages on the wesbiste, the updates included updating prices, updating bios, updating professors, removing content.",Have to go back and redo the last page that did not update on wordpress.,
3/20/26,1,Design,Did half of the updates on the page that neeeds to be redone.,,
3/22/26,1.5,Other,"Looked over the slides submission requirements, and addd some slides to it.",,
3/23/26,2,Other,Added 6 slides to my Project slides assignment.,,
3/24/26,2,Design,Finished the updates needed for the pages i was working on last time that did not save.,Had some issues with wordpress not making the updates.,
3/24/26,1.2,Design,"Updated the page for FALL 26 LAMEM Courses, following a specified format.",,
3/25/26,2,Design,Made progress on the alt-text descriptions,,
3/25/26,1,Design,Fixed a few insecure links.,,
3/25/26,2,Other,Worked on my full-draft slides. Added 5 slides.,,
3/26/26,1,Design,Worked on adding alt-text descriptions to more images.,,
3/26/26,1,"Research, Training, Learning",Went over some php documentation to be able to navigate through the websites code.,,
3/26/26,1.5,Design,Looked over the reposiotry of the college's website to familiarize myself with location of codes. ,Checked possible locations of where the fix of the H1 issue can be made.,
3/29/26,1,Other,Completed my full-draft slides.,,
3/29/26,0.5,Documentation,Updated Timelog ,,
3/29/26,0.5,Documentation,Filled out first part of the Supervisor Evalutaion Form and sent it to Supervisor,,
3/31/26,2.5,Coding,Made a list of the reusbale blocks that were used to replace the heading with the logo of the BC Magazine to later apply the changes.,,
3/31/26,1.5,Design,Added more alt-text descriptions to the spreadsheet of the links to images on wordpress missing alt-text,,
4/1/26,2.5,Design,Worked on fixing insecure connection links from webwarden scan.,,
4/1/26,1.5,Design,Added more alt-text descriptions to the spreadsheet of the links to images on wordpress missing alt-text,,
4/2/26,3,Design,Worked on fixing more insecure connections URLs,,
4/4/26,0.7,Supervisor Discussion,"Disscussed with supervisor for next weeks schedule since she will be on vacation, and i would only be doing hours on Tuesday. ",WIll have to fill in more hours doing assignments for the course and updating repository. Need to ask if i can do more hours on tuesday.,
4/4/26,0.5,Other,Went over the last assignments i need to complete for the course and planned the completion of them.,,
4/4/26,1.5,Other,Worked on organizing some material for the demo video and slides to show.,,
4/4/26,0.5,Other,Updated timelog.,,
4/7/26,2.5,Design,Fixed more insecure connections issues found by webwarden ,,
4/7/26,2.5,Design,Began implementing alt-text descriptions to the images that are missing them or have incomplete descriptions directly onto wordpress.,,
4/8/26,1.5,Other,Worked on the slides for the second demo recording assignment.,,
4/9/26,2.5,Design,Completed the slides and work to demostrate on the demo recording assignment. I also practiced a bit to fit into 2-5 minute video.,Need to make it shorter its too long.,
4/9/26,0.8,Documentation,Updated my project management board and repository.,,
4/11/26,1.7,Other,"Did some adjustments to the 2nd demo recording to make it between 2-5 minutes. Practiced it, record it, and turned it in.",,
4/12/26,0.5,Documentation,Updated Timelog.,,
4/14/26,2,Design,Did some problem solving for fixing an accessibility issue involving clickable images in the BC Magazine pages.,,
4/14/26,1.5,Design,"Because the image was implemented as a clickable image, the accesibility scans expected alt text descriptions that described what would happen if user clicked on it. This mostly afftected screen reader users. So i began going into the pages and making the fixes.",,
